WKT,nama,deskripsi
"LINESTRING (125.960656 -2.336285, 125.959763 -2.334055, 125.959763 -2.330132, 125.959718 -2.328549, 125.95979 -2.327245, 125.959708 -2.326039, 125.959559 -2.324813, 125.95892 -2.324963, 125.958686 -2.323896, 125.958185 -2.322146, 125.957237 -2.320519, 125.954503 -2.316574, 125.953299 -2.315308, 125.952195 -2.314292, 125.950327 -2.310098, 125.946082 -2.302564, 125.941538 -2.29796, 125.940434 -2.296475, 125.938502 -2.295245, 125.937035 -2.293081, 125.936907 -2.29272, 125.937467 -2.292451, 125.936602 -2.291135, 125.935667 -2.290059, 125.932955 -2.287927, 125.931056 -2.286125, 125.929084 -2.280513, 125.927371 -2.275739, 125.926797 -2.274542, 125.926572 -2.273345, 125.92485 -2.269355, 125.92425 -2.267311, 125.923187 -2.266029, 125.921633 -2.264981, 125.919101 -2.262111, 125.917647 -2.26051)",Ruas Waitamua-Waiina,
"LINESTRING (125.973869 -2.402264, 125.97413 -2.402786, 125.973909 -2.404612, 125.974191 -2.405937, 125.974651 -2.406779, 125.97517 -2.408618, 125.975467 -2.409255, 125.974842 -2.411746, 125.977387 -2.417123, 125.979547 -2.419531, 125.980631 -2.422321, 125.982734 -2.42544, 125.985034 -2.429215, 125.991811 -2.438688, 125.998011 -2.44534, 126.006366 -2.45134, 126.012175 -2.454991, 126.017654 -2.458238, 126.020531 -2.459855, 126.02513 -2.462088, 126.02698 -2.463217)",Ruas Waigay-Wailia,
"LINESTRING (126.02708 -2.463284, 126.03102 -2.465947, 126.031336 -2.466204, 126.034373 -2.467995, 126.036309 -2.468975, 126.038411 -2.470794, 126.038753 -2.470916, 126.039989 -2.471745, 126.040237 -2.471992, 126.040614 -2.472039, 126.042466 -2.473123, 126.043763 -2.473359, 126.04584 -2.473628, 126.046445 -2.473553, 126.047714 -2.472822, 126.050667 -2.471236, 126.052213 -2.471236, 126.054607 -2.469933, 126.056032 -2.468601, 126.057063 -2.467874, 126.05779 -2.465815, 126.059171 -2.463947, 126.059994 -2.463833, 126.060399 -2.463378, 126.060652 -2.462885, 126.061171 -2.462759, 126.062006 -2.461836, 126.062677 -2.461355, 126.063158 -2.460634, 126.064352 -2.459723, 126.064583 -2.459097, 126.065243 -2.458581, 126.066166 -2.456779, 126.068092 -2.453177, 126.068966 -2.451461, 126.069891 -2.449738, 126.070885 -2.446878, 126.071253 -2.444099, 126.07109 -2.440193, 126.071288 -2.437938, 126.071585 -2.437285, 126.07149 -2.433512, 126.070773 -2.430385, 126.071177 -2.428266, 126.071745 -2.425797, 126.071546 -2.423668, 126.07113 -2.422502, 126.070267 -2.418223, 126.069615 -2.415029, 126.069127 -2.413479, 126.066312 -2.409913, 126.064073 -2.406945, 126.063526 -2.405156, 126.06322 -2.403413, 126.062836 -2.401563, 126.062461 -2.400758, 126.062324 -2.400065, 126.062181 -2.399787)",Ruas Wailia-Baleha,
"LINESTRING (125.960719 -2.336388, 125.962012 -2.338955, 125.962493 -2.340958, 125.963023 -2.343939, 125.96057 -2.356742, 125.960662 -2.361481, 125.963541 -2.367236, 125.962352 -2.36989, 125.962875 -2.376456, 125.96462 -2.38239, 125.965229 -2.387203, 125.968166 -2.396069, 125.973843 -2.402157)",Ruas Waitamua-Waigay,
"LINESTRING (126.032668 -2.33493, 126.032578 -2.335266, 126.032489 -2.335445, 126.03236 -2.335477, 126.03191 -2.335297, 126.031425 -2.333993, 126.031292 -2.333782, 126.030534 -2.333233, 126.029242 -2.331802, 126.028304 -2.331511, 126.02734 -2.330627, 126.026645 -2.330485, 126.025386 -2.329149, 126.02469 -2.328415, 126.024283 -2.328299, 126.0238 -2.32826, 126.0232 -2.327787, 126.022755 -2.327768, 126.02121 -2.326572, 126.020551 -2.325848, 126.019332 -2.322901, 126.018908 -2.322189, 126.018347 -2.321915, 126.016782 -2.32198, 126.015987 -2.321707, 126.015407 -2.321464, 126.014245 -2.321677, 126.01378 -2.321503, 126.011204 -2.322916, 126.007777 -2.323341, 126.007234 -2.324038, 126.00613 -2.32369, 126.005259 -2.322529, 126.001773 -2.323535, 126.000727 -2.323322, 125.99912 -2.323225, 125.998268 -2.322838, 125.997493 -2.323051, 125.99556 -2.323785, 125.99408 -2.323785, 125.992747 -2.323711, 125.989934 -2.325338, 125.98875 -2.32519, 125.987121 -2.325264, 125.983716 -2.325856, 125.978831 -2.330294, 125.977054 -2.332735, 125.973427 -2.332217, 125.968393 -2.333622, 125.964766 -2.334214, 125.960768 -2.336285)",Ruas Waitamua-Manaf,
"LINESTRING (126.062178 -2.399787, 126.061828 -2.399179, 126.061447 -2.39889, 126.060488 -2.398981, 126.059697 -2.397217, 126.059286 -2.395925, 126.058923 -2.392762, 126.058609 -2.391289, 126.056822 -2.388595, 126.054251 -2.385838, 126.051964 -2.380885, 126.049791 -2.37746, 126.048855 -2.375469, 126.047378 -2.371218, 126.046564 -2.369307, 126.046523 -2.368372, 126.04461 -2.365891, 126.042678 -2.362936, 126.041534 -2.361263, 126.04084 -2.360468, 126.038696 -2.359468, 126.038186 -2.358774, 126.038921 -2.35706, 126.039223 -2.354739, 126.038706 -2.351424, 126.037944 -2.348675, 126.037902 -2.348399, 126.037463 -2.348111, 126.037325 -2.347877, 126.037469 -2.347588, 126.037692 -2.347396, 126.037679 -2.347138, 126.037126 -2.346177, 126.035425 -2.343297, 126.033565 -2.339468, 126.033164 -2.338761, 126.032502 -2.337966, 126.03238 -2.337721, 126.03211 -2.33728, 126.032269 -2.336693, 126.032759 -2.33624, 126.032857 -2.335665, 126.032686 -2.334967)",Ruas Baleha-Manaf,
"LINESTRING (125.329532 -1.837223, 125.329776 -1.838223, 125.329921 -1.838732, 125.329757 -1.840246, 125.329662 -1.840606, 125.329537 -1.840966, 125.329419 -1.841437, 125.329375 -1.841927, 125.329409 -1.842644, 125.329668 -1.842899, 125.330264 -1.84309, 125.33095 -1.843284, 125.332089 -1.843813, 125.332951 -1.844367, 125.333516 -1.844875, 125.333565 -1.845546, 125.333927 -1.84578, 125.334372 -1.846227, 125.335027 -1.847042, 125.335261 -1.847243, 125.335639 -1.847166, 125.336008 -1.84725, 125.337289 -1.848454, 125.339463 -1.849203, 125.340913 -1.849428, 125.342262 -1.849253, 125.344087 -1.849378, 125.345736 -1.847954, 125.34836 -1.84768, 125.350853 -1.84716, 125.35125 -1.847623, 125.351694 -1.84856, 125.352062 -1.849335, 125.35229 -1.849799, 125.352573 -1.850133, 125.352585 -1.851172, 125.352066 -1.851856, 125.351752 -1.852795, 125.351229 -1.853536, 125.351015 -1.854144, 125.350597 -1.854589, 125.350385 -1.855062, 125.350187 -1.855792, 125.349805 -1.856454, 125.349641 -1.857199, 125.349919 -1.858175, 125.349992 -1.859063, 125.349929 -1.859762, 125.350151 -1.860914, 125.350333 -1.861637, 125.350896 -1.862047, 125.351072 -1.862555, 125.351048 -1.862878, 125.350943 -1.862982, 125.350975 -1.863154, 125.351241 -1.863539, 125.35137 -1.863982, 125.351211 -1.864353, 125.351219 -1.864851, 125.351513 -1.865023, 125.35217 -1.865026, 125.353252 -1.86534, 125.353725 -1.865469, 125.354254 -1.865433, 125.354742 -1.865489, 125.355454 -1.865708, 125.356369 -1.866233, 125.357363 -1.866625, 125.358084 -1.866862, 125.358744 -1.867152, 125.361191 -1.867727)",Ruas PELITA-JOHOR,
"LINESTRING (125.329548 -1.837224, 125.32939 -1.836583, 125.329195 -1.83601, 125.328948 -1.835396, 125.328721 -1.834613, 125.328407 -1.832915, 125.328419 -1.832339, 125.328972 -1.831732, 125.329731 -1.830809, 125.330572 -1.829567, 125.330886 -1.828925, 125.331629 -1.827239, 125.331874 -1.826669, 125.332233 -1.826226, 125.3325 -1.826053, 125.332754 -1.825963, 125.333327 -1.825766, 125.334317 -1.825506, 125.334833 -1.825325, 125.335016 -1.82523, 125.335145 -1.825159, 125.335278 -1.825095, 125.335576 -1.824908, 125.336214 -1.824497, 125.336754 -1.823934, 125.337332 -1.823394, 125.337841 -1.822842, 125.338152 -1.8224, 125.338373 -1.821899, 125.338629 -1.821243, 125.33902 -1.820171, 125.339085 -1.819782, 125.339167 -1.819456, 125.339243 -1.819099, 125.339433 -1.818562, 125.339718 -1.817973, 125.339922 -1.81776, 125.340414 -1.81728, 125.340836 -1.816874, 125.340999 -1.816382, 125.341195 -1.815955, 125.341397 -1.815506, 125.341782 -1.814854, 125.342463 -1.814205, 125.342652 -1.814095, 125.342802 -1.813973, 125.343131 -1.813755, 125.343361 -1.813466, 125.343795 -1.813134, 125.34423 -1.813042, 125.34436 -1.813079, 125.344605 -1.81304, 125.345249 -1.81283, 125.346068 -1.812402, 125.346631 -1.81203, 125.346878 -1.811707, 125.347284 -1.811346, 125.347553 -1.810908, 125.347792 -1.810362, 125.347934 -1.810006, 125.348006 -1.809517, 125.347927 -1.809279, 125.347748 -1.808953, 125.34767 -1.808564, 125.347688 -1.8082, 125.347719 -1.807975, 125.347826 -1.807731, 125.348084 -1.807293, 125.348587 -1.806657, 125.349133 -1.806092, 125.34959 -1.805632, 125.349932 -1.805348, 125.350274 -1.805219, 125.350609 -1.805151, 125.350944 -1.805148, 125.351339 -1.805218, 125.35191 -1.805372, 125.35249 -1.805597, 125.352851 -1.805656, 125.353099 -1.805619, 125.353261 -1.805648, 125.353727 -1.805975, 125.3551 -1.806808, 125.356524 -1.807732)",Ruas PELITA-DOFA,
"LINESTRING (125.49984 -1.937153, 125.500156 -1.937707, 125.500505 -1.93822, 125.500874 -1.938683, 125.501248 -1.939065, 125.501387 -1.939278, 125.501705 -1.939534, 125.502464 -1.940098, 125.503451 -1.940761, 125.504158 -1.941083, 125.504528 -1.94125, 125.504763 -1.941355, 125.50476 -1.941403, 125.504838 -1.941551, 125.504953 -1.941602, 125.505056 -1.941924, 125.505253 -1.942136, 125.505503 -1.942367, 125.505718 -1.94266, 125.505808 -1.942942, 125.505867 -1.943708, 125.505812 -1.944091, 125.505968 -1.944305, 125.50662 -1.944995, 125.507347 -1.945684, 125.508419 -1.946448, 125.508982 -1.946588, 125.509524 -1.946919, 125.511683 -1.947392, 125.512719 -1.947061, 125.513309 -1.946674, 125.513874 -1.946683, 125.514221 -1.946935, 125.514638 -1.94729, 125.515216 -1.947536, 125.516027 -1.947815, 125.516356 -1.947716, 125.517057 -1.947792, 125.517929 -1.947755, 125.518699 -1.947236, 125.519997 -1.946621, 125.521103 -1.947154, 125.522166 -1.948028, 125.524627 -1.947815, 125.527114 -1.947797, 125.529649 -1.947325, 125.530535 -1.946866, 125.531603 -1.946092, 125.533146 -1.945499, 125.534993 -1.944864, 125.53671 -1.944238, 125.537569 -1.943154, 125.539344 -1.94236, 125.541437 -1.942121, 125.543378 -1.941101, 125.545466 -1.941235, 125.547976 -1.940732, 125.550342 -1.940115, 125.554293 -1.939014, 125.557255 -1.937327, 125.559988 -1.936327, 125.562254 -1.93512, 125.563834 -1.935076, 125.565215 -1.935128, 125.566749 -1.935189, 125.568633 -1.935179, 125.570781 -1.935253, 125.571987 -1.934945, 125.572491 -1.934081, 125.572908 -1.933038, 125.572864 -1.932668, 125.573158 -1.931414, 125.573154 -1.930697, 125.57296 -1.930095, 125.57271 -1.929813, 125.572403 -1.929665, 125.572079 -1.929457, 125.572136 -1.929211, 125.572606 -1.928748, 125.57391 -1.92772, 125.575492 -1.927099, 125.577381 -1.926821, 125.578812 -1.927085, 125.580308 -1.92722, 125.582485 -1.927233, 125.583195 -1.927161, 125.583754 -1.927303, 125.585146 -1.927443)",Ruas AUPONHIA-BUYA,
"LINESTRING (125.871213 -1.807775, 125.871091 -1.808764, 125.870876 -1.810243, 125.870934 -1.811238, 125.871105 -1.812088, 125.871356 -1.812518, 125.872008 -1.81365, 125.87217 -1.814336, 125.872114 -1.814767, 125.871807 -1.815369, 125.871286 -1.816129, 125.871109 -1.816529, 125.871091 -1.816985, 125.871216 -1.817579, 125.871282 -1.818221, 125.871269 -1.818796, 125.870876 -1.819909, 125.870702 -1.820272, 125.870433 -1.820948, 125.869953 -1.821664, 125.869555 -1.822243, 125.868747 -1.822924, 125.868156 -1.823288, 125.867905 -1.823476, 125.867592 -1.823538, 125.867046 -1.823864, 125.866855 -1.824063, 125.866847 -1.824262, 125.866978 -1.824966, 125.866966 -1.82575, 125.866875 -1.826341, 125.865474 -1.827196, 125.865212 -1.827132, 125.864768 -1.826828, 125.864358 -1.826609, 125.863862 -1.82691, 125.863416 -1.827486, 125.863288 -1.828649, 125.863321 -1.829466, 125.863286 -1.829625, 125.86307 -1.829647, 125.862239 -1.829174, 125.861977 -1.82912, 125.861431 -1.829264, 125.861146 -1.82929, 125.860884 -1.829684, 125.860753 -1.830232, 125.860793 -1.830951, 125.860691 -1.831172, 125.860372 -1.831518, 125.859419 -1.832483, 125.858942 -1.832732, 125.858579 -1.833306, 125.858329 -1.834335, 125.858896 -1.842954, 125.860258 -1.847944, 125.860031 -1.851573, 125.857875 -1.856676, 125.861775 -1.861091, 125.870257 -1.872948, 125.873869 -1.881261, 125.874387 -1.884624, 125.875152 -1.887674, 125.875415 -1.890494, 125.875512 -1.893049, 125.875446 -1.894936, 125.875083 -1.896625, 125.874984 -1.900201, 125.874637 -1.90107, 125.874039 -1.901554, 125.872886 -1.902367, 125.872609 -1.902854, 125.872653 -1.903443, 125.872843 -1.904099, 125.873099 -1.904964, 125.873203 -1.905176, 125.873135 -1.90548, 125.873037 -1.905725, 125.873108 -1.906049, 125.873241 -1.90635, 125.873316 -1.906706, 125.873214 -1.906971, 125.873254 -1.907233, 125.873218 -1.907405)",Ruas WAILOBA-CAPALULU,
"LINESTRING (125.872993 -1.907972, 125.876476 -1.909519, 125.878092 -1.910252, 125.878495 -1.910919, 125.878873 -1.911115, 125.879334 -1.91138, 125.879879 -1.911747, 125.880102 -1.911968, 125.880542 -1.912548, 125.881039 -1.913409, 125.881429 -1.913855, 125.882316 -1.914692, 125.881889 -1.915147, 125.882571 -1.915835, 125.882976 -1.91605, 125.883051 -1.916348, 125.883305 -1.916497, 125.883734 -1.9164, 125.884119 -1.916523, 125.885388 -1.918004, 125.887953 -1.92023, 125.891214 -1.922895, 125.893251 -1.924214, 125.894985 -1.925559, 125.897006 -1.927356, 125.897814 -1.927717, 125.89964 -1.929648, 125.900714 -1.930435, 125.901898 -1.931276, 125.903068 -1.93192, 125.903567 -1.932445, 125.904697 -1.932892, 125.906088 -1.933127, 125.908345 -1.933256, 125.910361 -1.932095, 125.912103 -1.931298, 125.914457 -1.93036, 125.915645 -1.929936, 125.916644 -1.929692, 125.917902 -1.929536, 125.919551 -1.929506, 125.921732 -1.929495, 125.923119 -1.929513, 125.923837 -1.929491, 125.924375 -1.929575, 125.925246 -1.929537, 125.926058 -1.92943, 125.926612 -1.929531, 125.927514 -1.929859, 125.928232 -1.930027, 125.929304 -1.930078, 125.930079 -1.930135, 125.930195 -1.929885, 125.930175 -1.929402, 125.930115 -1.928896, 125.930203 -1.928611, 125.930465 -1.928326, 125.931316 -1.927951, 125.932123 -1.927386, 125.932562 -1.926991, 125.933276 -1.926452, 125.934205 -1.925821, 125.935249 -1.925268, 125.936704 -1.924426, 125.937588 -1.923845, 125.939069 -1.923315, 125.940345 -1.922894, 125.941082 -1.924314, 125.942372 -1.923209, 125.945151 -1.921509, 125.947178 -1.92027, 125.948276 -1.919527, 125.949607 -1.919194, 125.952525 -1.918143, 125.954738 -1.916876, 125.95644 -1.916487, 125.959269 -1.916404, 125.960647 -1.916218, 125.961558 -1.916295, 125.962345 -1.916538, 125.963963 -1.917161, 125.964784 -1.917192, 125.965774 -1.91716, 125.966224 -1.917323, 125.96675 -1.917664, 125.96741 -1.917912, 125.969302 -1.918287, 125.969881 -1.918122, 125.970979 -1.917763, 125.971734 -1.917659, 125.97245 -1.917632, 125.973612 -1.917502, 125.97508 -1.917423, 125.976651 -1.917444, 125.977661 -1.917352, 125.978347 -1.917227, 125.980484 -1.916827, 125.980886 -1.916613, 125.981916 -1.916094, 125.982536 -1.915912, 125.985566 -1.915215, 125.985159 -1.913984, 125.985801 -1.913722, 125.986199 -1.913538, 125.986698 -1.913136, 125.987252 -1.913015, 125.987626 -1.912908, 125.987998 -1.912604, 125.988411 -1.91234, 125.988981 -1.912248, 125.989522 -1.911987, 125.990768 -1.911347, 125.991811 -1.910725, 125.992223 -1.910387, 125.992951 -1.909893, 125.993867 -1.909398, 125.995069 -1.908874, 125.996106 -1.90838, 125.996846 -1.907857, 125.997621 -1.907242, 125.998646 -1.906765, 125.999946 -1.906258, 126.00146 -1.905715, 126.00215 -1.905686, 126.004255 -1.905963, 126.005515 -1.905988, 126.00592 -1.905482, 126.006953 -1.904386, 126.007432 -1.903724, 126.009338 -1.903205, 126.010401 -1.902965, 126.011124 -1.902682, 126.011702 -1.902096, 126.012408 -1.900853, 126.012953 -1.899942, 126.013457 -1.899202, 126.015114 -1.898587, 126.016512 -1.898376, 126.017237 -1.897984, 126.018594 -1.897571, 126.020443 -1.896715, 126.021977 -1.896637, 126.022192 -1.896629, 126.022297 -1.896643, 126.022409 -1.896705, 126.022505 -1.896884, 126.023005 -1.897691, 126.023343 -1.89806, 126.023615 -1.897998, 126.02409 -1.897711, 126.024896 -1.897254, 126.025709 -1.896784, 126.026733 -1.895976, 126.0275 -1.895472, 126.028365 -1.895013, 126.029102 -1.894539, 126.02989 -1.894317, 126.030995 -1.894143, 126.031595 -1.894175, 126.032284 -1.894174, 126.032879 -1.894158, 126.033602 -1.894218, 126.034899 -1.894115, 126.035609 -1.894198, 126.036663 -1.894258, 126.03703 -1.894168, 126.038286 -1.893951, 126.039203 -1.893803, 126.040034 -1.893427, 126.041215 -1.892696, 126.04327 -1.891418, 126.044714 -1.890478, 126.046422 -1.88932, 126.047152 -1.888662, 126.049047 -1.887717, 126.050593 -1.886884, 126.052105 -1.886104, 126.053471 -1.885332, 126.056201 -1.884769, 126.058093 -1.884374, 126.059082 -1.884039, 126.060131 -1.883721, 126.061096 -1.883438, 126.062438 -1.882944, 126.064297 -1.882309, 126.065425 -1.882195, 126.066143 -1.882205, 126.06698 -1.882305, 126.067803 -1.882355, 126.068605 -1.882409, 126.069439 -1.882378, 126.070578 -1.882274)",Ruas CAPALULU-KOU,
"LINESTRING (125.585219 -1.92744, 125.5863 -1.927573, 125.587598 -1.927995, 125.588722 -1.928212, 125.590612 -1.928205, 125.591706 -1.928608, 125.592854 -1.928667, 125.593736 -1.928581, 125.59458 -1.927785, 125.595546 -1.927533, 125.59645 -1.927268, 125.597277 -1.927329, 125.597863 -1.9271, 125.599322 -1.926679, 125.600806 -1.926669, 125.602064 -1.926498, 125.603274 -1.926593, 125.605669 -1.926976, 125.608019 -1.926825, 125.609586 -1.926679, 125.611443 -1.926847, 125.614552 -1.927025, 125.615384 -1.927406, 125.616396 -1.92771, 125.618092 -1.928336, 125.619679 -1.928503, 125.620752 -1.928814, 125.622344 -1.928798, 125.623743 -1.929096, 125.625814 -1.929404, 125.627092 -1.929088, 125.628803 -1.929012, 125.630959 -1.929109, 125.632921 -1.928844, 125.635928 -1.929159, 125.637999 -1.92928, 125.639635 -1.929135, 125.643883 -1.929297, 125.646978 -1.929329, 125.649301 -1.92912, 125.650746 -1.928955, 125.652384 -1.929105, 125.654374 -1.929361, 125.656157 -1.929425, 125.658094 -1.929367, 125.659185 -1.929428, 125.659454 -1.929529, 125.660332 -1.929554, 125.661192 -1.929675, 125.662239 -1.929887, 125.663556 -1.929948, 125.664712 -1.92995, 125.666206 -1.92984, 125.667065 -1.929941, 125.668256 -1.929988, 125.670302 -1.93017, 125.671531 -1.930224, 125.672879 -1.930206, 125.674576 -1.929779, 125.67572 -1.929668, 125.677212 -1.92939, 125.680249 -1.92882, 125.681239 -1.928526, 125.682133 -1.928264, 125.683831 -1.927708, 125.684748 -1.927542, 125.685626 -1.927479, 125.686871 -1.927765, 125.68827 -1.927896, 125.689299 -1.927864, 125.69038 -1.927677, 125.69074 -1.927625, 125.691422 -1.927721, 125.692065 -1.927676, 125.693673 -1.92736, 125.694464 -1.927241, 125.695191 -1.927302, 125.696372 -1.927528, 125.697578 -1.92751, 125.698768 -1.927282, 125.699628 -1.926764, 125.70045 -1.926169, 125.701617 -1.925487, 125.702201 -1.92541, 125.703054 -1.925661, 125.703689 -1.925976)",Ruas BUYA-KAPORO,
